DW;LW;WW;Titel;Interpret;Bewertung
1;2;12;Wellerman;Nathan Evans, 220 Kid , Billen Ted;3,1
2;1;4;Montero (Call Me By Your Name);Lil Nas X;2
3;3;5;Peaches;Justin Bieber , Daniel Caesar , Giveon;2,6
4;4;10;Cover Me In Sunshine;P!Nk , Willow Sage Hart;4,3
5;7;14;Astronaut In The Ocean;Masked Wolf;4,5
6;8;4;Frag Mich Nicht;Miksu / Macloud, Nimo , Jamule;4,7
7;10;8;Friday;Riton , Nightcrawlers , Mufasa , Hypeman;3,6
8;;1;Unter Verdacht;Capital Bra , Ngee;2,6
9;9;19;The Business;Tiësto;2,8
10;6;2;Kids From The Block;Luciano;4,1
11;5;2;Leere Hände;Santos, Sido , Samra;4,5
12;11;13;Girls Like Us;Zoe Wees;4,2
13;12;15;Save Your Tears;The Weeknd;4,4
14;13;13;Your Love (9Pm);Atb, Topic , A7s;2,1
15;18;4;Faded Love;Leony;4,2
16;15;19;Without You;The Kid Laroi;3
17;14;2;Rapstar;Polo G;2,1
18;47;9;Levitating;Dua Lipa;2,1
19;16;15;Drivers License;Olivia Rodrigo;4,1
20;17;9;Madonna;Bausa , Apache 207;2,6
21;;1;Angekommen;Ufo361 , Data Luv;2,1
22;22;17;Love Not War (The Tampa Beat);Jason Derulo , Nuka;2,9
23;19;17;Afterglow;Ed Sheeran;4,5
24;20;6;Wasted Love;Ofenbach , Lagique;3
25;21;14;Ohne Dich;Kasimir1441, Badmómzjay , Wildbwoys;4,6
26;23;34;Mood;24Kgoldn , Iann Dior;3,5
27;37;2;Runaway;Aurora;2,3
28;25;13;The One;Rea Garvey , Vize;2,8
29;24;37;Head & Heart;Joel Corry , Mnek;2,8
30;26;71;Blinding Lights;The Weeknd;3,7
31;41;3;Deja Vu;Olivia Rodrigo;2,5
32;27;13;Arcade;Duncan Laurence;3,9
33;44;34;You Broke Me First;Tate Mcrae;4,9
34;30;26;All We Got;Robin Schulz , Kiddo;4,9
35;31;36;Head Shoulders Knees & Toes;Ofenbach , Quarterhead , Norma Jean Martine;4,1
36;29;21;Paradise;Meduza , Dermot Kennedy;2,9
37;28;14;White Lies;Vize , Tokio Hotel;3,5
38;35;9;Bad Eyez;Nimo , Luciano;4,8
39;54;28;Another Love;Tom Odell;2,8
40;38;12;My Head & My Heart;Ava Max;4,2
41;33;2;Kiss Me More;Doja Cat , Sza;2,9
42;50;34;Paradise;Vize, Joker Bra , Leony;3,9
43;34;32;Jerusalema;Master Kg , Burna Boy , Nomcebo Zikode;4,5
44;;1;Hör Nicht Auf;Cro , Teesy;4,7
45;32;2;Drei Uhr Nachts;Mark Forster , Lea;4,8
46;40;7;Peppermint;Luciano;4,7
47;48;80;Roller;Apache 207;3
48;49;19;Goosebumps;Travis Scott;2,4
49;42;7;Hold On;Justin Bieber;2,3
50;;1;Unter Dem Radar;Ak Ausserkontrolle;3
51;36;3;Overdose;Jamule;2,6
52;46;8;Ordentlich;T-Low;4,8
53;61;88;Dance Monkey;Tones And I;2,5
54;58;44;Savage Love (Laxed - Siren Beat);Jawsh 685 , Jason Derulo;4
55;60;12;Rise Up;Vinai , Vamero;4,1
56;;1;Ok;Dj Jeezy, Summer Cem , Nimo , Jay1;4
57;56;11;Where The Lights Are Low;Toby Romeo, Felix Jaehn , Faulhaber;2,1
58;51;2;Plesi;Voyage , J Fado;2,8
59;59;5;Love Again;Alok , Vize , Alida;4,7
60;67;4;Heat Waves;Glass Animals;4,1
61;65;46;Watermelon Sugar;Harry Styles;2,8
62;63;2;Das Ist Alles Von Der Kunstfreiheit Gedeckt;Danger Dan;3,7
63;66;68;Roses;Saint Jhn;2,1
64;;2;Bed;Joel Corry, Raye , David Guetta;3,2
65;72;5;Wer Wenn Nicht Wir;Wincent Weiss;3,1
66;;2;Floating Through Space;Sia , David Guetta;3,9
67;;1;Heartbreak Anniversary;Giveon;4
68;;1;Solid;Young Stoner Life, Young Thug , Gunna , Drake;2
69;;41;Lovefool;Twocolors;3,3
70;70;7;Leave The Door Open;Bruno Mars, Anderson .Paak , Silk Sonic;2,5
71;53;4;Verpennt;187 Strassenbande, Bonez Mc, Lx , Sa4;4
72;74;36;Hypnotized;Purple Disco Machine , Sophie And The Giants;2,6
73;71;35;Lemonade;Internet Money , Gunna , Don Toliver , Nav;4,2
74;;69;Monster;Lum!X , Gabry Ponte;4,2
75;;47;Memories;David Guetta ,Kid Cudi;3,4
